Age,Etablissement,Classe,Commune de  domicile,Temps_Maths(mn),Auto_eval_Maths,Temps_Sciences(mn),Temps_Francais(mn),Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet
14.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60.0,,120.0,120.0,5.0,1.0,1.0,0.0,1.0,Université  ,0.0,malgache et  shimaore,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,240.0,,120.0,240.0,5.0,1.0,1.0,0.0,0.0,Réflexion,0.0,Shimaoré,1.0,1.0
17.0,Lycée des Lumières,Première,Commune de Mamoudzou,60.0,,30.0,180.0,5.5,1.0,0.0,0.0,1.0,Université,0.0,shimaorais et kibushi,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,120.0,,120.0,180.0,1.0,1.0,0.0,0.0,0.0,Réflexion,0.0,Shimaoré,0.0,0.0
15.0,Lycée des Lumières,Seconde,majicavo / tsingoni,120.0,,180.0,120.0,10.0,1.0,0.0,1.0,0.0,,0.0,kibushi,1.0,0.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,30.0,,180.0,60.0,4.5,1.0,0.0,1.0,1.0,Université,1.0,Shimaoré,1.0,1.0
18.0,Lycée des Lumières,Terminale,Commune de Koungou,420.0,,1260.0,300.0,3.0,0.0,0.0,0.0,0.0,Université,1.0,Shimaoré,1.0,0.0
18.0,Lycée des Lumières,BTS,Commune de Mamoudzou,120.0,4.0,240.0,180.0,5.0,0.0,0.0,0.0,1.0,Ecole de Commerce,1.0,Shimaoré,1.0,1.0
17.0,Lycée de Dembéni,Première,Commune de Pamandzi,60.0,7.0,60.0,240.0,7.0,0.0,0.0,0.0,1.0,Université,0.0,Shimaoré,0.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,1.0,600.0,0.0,7.0,1.0,0.0,0.0,1.0,Travailler,0.0,Shimaoré,1.0,0.0
11.0,Collège de Ouangani,Sixième,Commune de Ouangani,60.0,,60.0,120.0,9.0,1.0,1.0,1.0,1.0,Réflexion,1.0,Français,1.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,10.0,60.0,120.0,10.0,0.0,0.0,0.0,1.0,Réflexion,0.0,kibushi,1.0,1.0
14.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,5.0,120.0,60.0,8.0,1.0,1.0,0.0,0.0,,0.0,Français,1.0,0.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,240.0,8.0,60.0,180.0,9.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120.0,,60.0,120.0,10.0,1.0,0.0,0.0,0.0,Ecole spécialisée,0.0,Français,0.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,8.0,120.0,0.0,8.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,0.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120.0,7.0,120.0,60.0,6.0,0.0,0.0,1.0,0.0,,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,,240.0,600.0,1.0,1.0,0.0,1.0,0.0,Université,1.0,Shimaoré,0.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,9.0,60.0,60.0,,,0.0,1.0,0.0,,1.0,kibushi,1.0,1.0
15.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,7.0,60.0,600.0,8.0,1.0,1.0,0.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,4.0,240.0,120.0,4.0,1.0,1.0,0.0,0.0,,0.0,Shimaoré,1.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,7.0,60.0,60.0,4.0,1.0,0.0,0.0,0.0,,1.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,8.0,180.0,120.0,7.0,1.0,1.0,1.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,10.0,120.0,60.0,5.0,1.0,0.0,0.0,0.0,,0.0,francais  et mayotte,0.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,240.0,9.0,60.0,120.0,9.0,1.0,1.0,0.0,0.0,,1.0,Shimaoré,1.0,0.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,Ecole spécialisée,1.0,Shimaoré,1.0,0.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,900.0,9.0,180.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,180.0,8.0,180.0,240.0,8.0,0.0,0.0,1.0,1.0,,0.0,Français,1.0,1.0
11.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,10.0,20.0,50.0,10.0,1.0,0.0,1.0,1.0,,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120.0,8.0,180.0,60.0,8.0,1.0,0.0,0.0,0.0,,0.0,Français,0.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,8.0,60.0,60.0,2.0,1.0,0.0,1.0,0.0,,1.0,Shimaoré,0.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,7.0,180.0,60.0,5.0,0.0,0.0,0.0,1.0,Réflexion,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,0.0,kibushi,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,300.0,9.0,120.0,360.0,9.0,0.0,1.0,0.0,0.0,Université,1.0,Shimaoré,0.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15.0,9.0,120.0,15.0,9.0,1.0,0.0,0.0,0.0,Université,0.0,kibushi,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180.0,5.0,60.0,240.0,5.0,0.0,0.0,1.0,0.0, BTS,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,,240.0,120.0,8.0,1.0,0.0,0.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,,300.0,,,0.0,0.0,1.0,1.0,Ecole spécialisée,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15.0,9.0,15.0,15.0,9.0,1.0,0.0,0.0,0.0,Université,0.0,kibushi,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,5.0,60.0,60.0,5.0,0.0,1.0,1.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,300.0,8.0,120.0,360.0,8.0,1.0,0.0,0.0,1.0,Ecole spécialisée,0.0,Malgache,0.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,,180.0,60.0,6.0,1.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,5.0,60.0,30.0,5.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,3.0,180.0,120.0,5.0,1.0,0.0,0.0,1.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180.0,,360.0,300.0,9.0,0.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,0.0
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,960.0,,960.0,15.0,7.0,0.0,0.0,0.0,0.0,Université,0.0,Shimaoré,,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,,60.0,60.0,6.0,0.0,1.0,1.0,1.0,Ecole spécialisée,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,30.0,,30.0,30.0,9.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,2.0,240.0,180.0,2.0,1.0,0.0,1.0,1.0,Université ,0.0,Shimaoré,1.0,0.0
22.0,Lycée des Lumières,1mcvAPP,Commune de Koungou,120.0,6.0,120.0,120.0,8.0,0.0,0.0,1.0,,Université,1.0,Shimaoré,1.0,1.0
16.0,Lycée de Dembéni,Terminale,Commune de Mamoudzou,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0, ,0.0,Français,1.0,1.0
17.0,Lycée de Dembéni,Terminale,Commune de M'Tsangamouji,0.0,5.0,60.0,0.0,4.0,1.0,0.0,0.0,1.0,Ecole spécialisée,0.0,kibushi,1.0,1.0
17.0,Lycée Younoussa Bamana,Terminale,Commune de Mamoudzou,0.0,5.0,60.0,120.0,5.0,1.0,0.0,1.0,1.0,BTS,0.0,Shimaoré,1.0,1.0
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,60.0,7.0,0.0,480.0,7.0,1.0,0.0,1.0,1.0,Université,0.0,Shimaoré,0.0,1.0
18.0,Lycée de Dembéni,Terminale,Commune de Dembeni,0.0,6.0,0.0,60.0,6.0,1.0,0.0,1.0,1.0,Université ,0.0,Français,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,Réflexion,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,Université,,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,Université,0.0,kiboushi et  kimaore,1.0,1.0
13.0,e15,Quatrième,Commune de Ouangani,60.0,8.0,120.0,60.0,5.0,1.0,0.0,1.0,0.0,Université,,Shimaoré,1.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,5.0,120.0,0.0,5.0,1.0,0.0,1.0,1.0,,0.0,Shimaoré,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,240.0,9.0,120.0,60.0,9.0,1.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,1.0,0.0,60.0,,1.0,0.0,1.0,1.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
16.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,3.0,180.0,240.0,3.0,0.0,0.0,1.0,0.0,Réflexion,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,0.0
14.0,e15,Quatrième,Commune de Ouangani,180.0,10.0,180.0,60.0,,0.0,0.0,1.0,0.0,,,,0.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,5.0,60.0,120.0,3.0,0.0,0.0,1.0,1.0,Ecole spécialisée,,kibushi,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180.0,5.0,60.0,240.0,4.0,0.0,1.0,1.0,1.0,,0.0,Shimaoré,1.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,5.0,600.0,300.0,8.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,4.0,240.0,420.0,5.0,0.0,0.0,0.0,1.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,5.0,60.0,120.0,5.0,0.0,0.0,1.0,1.0,Université,1.0,Shimaoré,0.0,0.0
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,7.0,60.0,45.0,7.0,0.0,0.0,1.0,1.0,Ecole spécialisée,1.0,Shimaoré,0.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,10.0,60.0,120.0,10.0,1.0,1.0,1.0,1.0,Ecole spécialisée ,1.0,Français,1.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,4.0,120.0,120.0,5.0,0.0,0.0,1.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,7.0,60.0,60.0,7.0,0.0,0.0,1.0,0.0,,0.0,Shimaoré,0.0,0.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,10.0,420.0,300.0,10.0,0.0,0.0,1.0,,,,,0.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,5.0,3.0,25.0,60.0,5.0,1.0,0.0,0.0,0.0,Université ,0.0,malgache francais mahoraise,1.0,1.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,10.0,5.0,40.0,50.0,4.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,0.0,0.0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,1.0,60.0,60.0,1.0,1.0,0.0,1.0,1.0,Ecole spécialisée,0.0,malgache et shimaore,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120.0,5.0,60.0,240.0,5.0,1.0,0.0,1.0,0.0,,1.0,Shimaoré,1.0,1.0
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,5.0,60.0,120.0,4.0,0.0,0.0,1.0,1.0,Ecole spécialisée,1.0,Shimaoré,0.0,0.0
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,120.0,,120.0,120.0,7.0,0.0,0.0,0.0,1.0,Université ,1.0,Shimaoré,1.0,0.0
17.0,Lycée Younoussa Bamana,P18STI2D,Commune de Mamoudzou,300.0,6.0,300.0,180.0,6.0,0.0,0.0,1.0,1.0,Université,0.0,Shimaoré,1.0,
17.0,Lycée des Lumières,Terminale STMG,Commune de Mamoudzou,0.0,9.0,120.0,240.0,8.0,0.0,0.0,0.0,1.0,BTS,0.0,Français,1.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60.0,5.0,60.0,60.0,10.0,1.0,1.0,0.0,1.0,Réflexion,0.0,Shimaoré,1.0,1.0
